Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
Kalindi,AMD,GCN 2.0,TSMC,2013-11-01,1.178,4,28,110.0,0.0576,,225.0,225.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-04-23,1.178,9,28,110.0,0.0768,,300.0,300.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-11-01,1.178,15,28,110.0,0.1024,,400.0,400.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-05-23,1.178,8,28,110.0,0.1024,,300.0,400.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-09-18,1.178,15,28,110.0,0.1152,,450.0,450.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-09-18,1.178,15,28,110.0,0.1152,,450.0,450.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-04-23,1.178,15,28,110.0,0.1152,,450.0,450.0,10.7,,System Shared,128
Scrapper Lite,AMD,TeraScale 3,GlobalFoundries,2013-07-01,1.303,20,32,246.0,0.1418,,424.0,554.0,5.3,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-08-13,1.178,15,28,110.0,0.1272,,497.0,497.0,10.7,,System Shared,128
Kalindi,AMD,GCN 2.0,TSMC,2013-04-23,1.178,15,28,110.0,0.1272,,497.0,497.0,10.7,,System Shared,128
Cedar,AMD,TeraScale 2,TSMC,2013-01-08,0.292,19,40,59.0,0.104,10.67,650.0,650.0,4.9,1.0,DDR3,80
Scrapper Lite,AMD,TeraScale 3,GlobalFoundries,2013-03-12,1.303,35,32,246.0,0.18430000000000002,,514.0,720.0,5.3,,System Shared,128
